,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,0.0,0.0,-0.0,0.0,0.0,0.0,1927.0,74.0,1.08
sigma,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,2.63
