ell,residuals
317,-1.1752734512417529e-13
318,-1.5877855886113054e-13
319,-1.9979686542996927e-13
320,-2.4047706417683497e-13
321,-2.8071440103684186e-13
322,-3.20404841182899e-13
323,-3.5944534087316437e-13
324,-3.977341177792526e-13
325,-4.3517091907832767e-13
326,-4.716572865956639e-13
327,-5.070968182891939e-13
328,-5.413954253744275e-13
329,-5.744615843975073e-13
330,-6.062065835739889e-13
331,-6.365447627248953e-13
332,-6.653937461546841e-13
333,-6.926746678331908e-13
334,-7.183123882608532e-13
335,-7.42235702416799e-13
336,-7.643775382105124e-13
337,-7.846751448810076e-13
338,-8.03070270812058e-13
339,-8.195093302581517e-13
340,-8.339435585034381e-13
341,-8.463291550049318e-13
342,-8.566274141013315e-13
343,-8.648048429007067e-13
344,-8.708332659923744e-13
345,-8.746899166623924e-13
346,-8.763575143267637e-13
347,-8.75824327931509e-13
348,-8.730842251059229e-13
349,-8.6813670689139e-13
350,-8.609869279066264e-13
351,-8.516457018478494e-13
352,-8.40129492260828e-13
353,-8.264603885610719e-13
354,-8.106660673168419e-13
355,-7.92779738849174e-13
356,-7.728400792419888e-13
357,-7.508911478942208e-13
358,-7.26982290785014e-13
359,-7.011680296607423e-13
360,-6.735079373913764e-13
361,-6.440664997803598e-13
362,-6.129129641494298e-13
363,-5.801211750555334e-13
364,-5.457693975324633e-13
365,-5.099401282836261e-13
366,-4.727198952859453e-13
367,-4.341990462968394e-13
368,-3.9447152678684594e-13
369,-3.5363464785035816e-13
370,-3.1178884467485716e-13
371,-2.690374261756486e-13
372,-2.2548631642847013e-13
373,-1.8124378855567866e-13
374,-1.364201917435941e-13
375,-9.112767208870119e-14
376,-4.547988798864671e-14
377,4.0827918952501477e-16
378,4.6421018417225907e-14
379,9.244188552844998e-14
380,1.3835410219068653e-13
381,1.8404085654358447e-13
382,2.293856047207484e-13
383,2.7427237246507064e-13
384,3.1858605604601325e-13
385,3.622127216866597e-13
386,4.0503990271108244e-13
387,4.4695689362549434e-13
388,4.878550403537596e-13
389,5.276280258555442e-13
390,5.661721503658657e-13
391,6.033866055069808e-13
392,6.391737415386016e-13
393,6.734393270276491e-13
394,7.060928002383927e-13
395,7.370475115632165e-13
396,7.662209563365578e-13
397,7.935349973988367e-13
398,8.1891607680249e-13
399,8.422954160794806e-13
400,8.636092045192626e-13
401,8.82798774935847e-13
402,8.998107664352068e-13
403,9.145972737273618e-13
404,9.27115982561785e-13
405,9.373302909014258e-13
406,9.45209415486567e-13
407,9.507284834784093e-13
408,9.538686089107234e-13
409,9.546169537177488e-13
410,9.529667731467324e-13
411,9.489174454043793e-13
412,9.424744854282077e-13
413,9.336495427153034e-13
414,9.224603831829338e-13
415,9.08930855078031e-13
416,8.930908389947516e-13
417,8.749761821007318e-13
418,8.546286167160846e-13
419,8.320956634291593e-13
420,8.074305189757509e-13
421,7.80691929148305e-13
422,7.519440470418729e-13
423,7.212562769835605e-13
424,6.887031045293089e-13
425,6.543639129512778e-13
426,6.183227866734044e-13
427,5.806683021498949e-13
428,5.414933067143396e-13
429,5.008946859598896e-13
430,4.589731202428376e-13
431,4.158328309308247e-13
432,3.7158131704556817e-13
433,3.263290829761619e-13
434,2.8018935796363517e-13
435,2.3327780808043734e-13
436,1.8571224144937555e-13
437,1.3761230746507922e-13
438,8.909919079892758e-14
439,4.0295300982322065e-14
440,-8.676041623476425e-15
441,-5.769092265212705e-14
442,-1.0662515252451519e-13
443,-1.5535458637489054e-13
444,-2.0375544427342027e-13
445,-2.5170463090533617e-13
446,-2.9908005386809567e-13
447,-3.4576093974947574e-13
448,-3.9162814715555464e-13
449,-4.3656447586361096e-13
450,-4.804549712848052e-13
451,-5.23187223433025e-13
452,-5.646516596093808e-13
453,-6.047418300280848e-13
454,-6.43354685627257e-13
455,-6.80390847327485e-13
456,-7.157548660236731e-13
457,-7.493554726188e-13
458,-7.811058174340024e-13
459,-8.10923698357305e-13
460,-8.387317771216111e-13
461,-8.644577831342709e-13
462,-8.880347043123018e-13
463,-9.094009644115331e-13
464,-9.285005863731662e-13
465,-9.45283341247602e-13
466,-9.597048822933686e-13
467,-9.717268638879014e-13
468,-9.81317044926464e-13
469,-9.88449376426714e-13
470,-9.931040730974432e-13
471,-9.952676686727977e-13
472,-9.949330548556187e-13
473,-9.920995037569137e-13
474,-9.867726737621826e-13
475,-9.78964598798762e-13
476,-9.686936610224511e-13
477,-9.5598454698565e-13
478,-9.40868187392374e-13
479,-9.23381680589592e-13
480,-9.035681999871817e-13
481,-8.814768856410208e-13
482,-8.57162720276282e-13
483,-8.306863900688897e-13
484,-8.021141305434523e-13
485,-7.715175579859826e-13
486,-7.389734868071874e-13
487,-7.045637333308059e-13
488,-6.683749065158034e-13
489,-6.30498186157687e-13
490,-5.910290891460697e-13
491,-5.500672243879476e-13
492,-5.077160370365401e-13
493,-4.640825426930714e-13
494,-4.1927705227667703e-13
495,-3.734128882812129e-13
496,-3.2660609316166166e-13
497,-2.7897513061309264e-13
498,-2.3064058052421045e-13
499,-1.817248284043936e-13
500,-1.323517500977682e-13
501,-8.264639261028244e-14
502,-3.273465188606132e-14
503,1.7257051622406712e-14
504,6.720209874009079e-14
505,1.1697399785750522e-13
506,1.6644671086583653e-13
507,2.1549497788512355e-13
508,2.639946399345543e-13
509,3.118229586996692e-13
510,3.5885893255880767e-13
511,4.0498360804133395e-13
512,4.5008038590253234e-13
513,4.940353210137636e-13
514,5.367374152840384e-13
515,5.780789028468056e-13
516,6.179555267668466e-13
517,6.562668065449028e-13
518,6.929162957217376e-13
519,7.278118289101859e-13
520,7.608657576116414e-13
521,7.919951742033317e-13
522,8.211221235142262e-13
523,8.481738014406786e-13
524,8.73082740086974e-13
525,8.957869789519588e-13
526,9.162302217203898e-13
527,9.343619782552195e-13
528,9.501376914266665e-13
529,9.63518848454655e-13
530,9.744730764811208e-13
531,9.829742221319255e-13
532,9.890024148692376e-13
533,9.925441139793843e-13
534,9.9359213908337e-13
535,9.921456841018171e-13
536,9.882103146493223e-13
537,9.817979488770556e-13
538,9.729268218261627e-13
539,9.616214333984525e-13
540,9.479124800930592e-13
541,9.318367707018483e-13
542,9.134371261971817e-13
543,8.927622640884881e-13
544,8.698666675637375e-13
545,8.448104397728522e-13
546,8.176591436480198e-13
547,7.884836276946612e-13
548,7.573598382226204e-13
549,7.243686185231008e-13
550,6.895954955304867e-13
551,6.531304545410615e-13
552,6.150677025908068e-13
553,5.755054211251294e-13
554,5.345455086194294e-13
555,4.922933138363071e-13
556,4.488573604289351e-13
557,4.0434906362160466e-13
558,3.58882439719559e-13
559,3.125738092172117e-13
560,2.655414942904934e-13
561,2.1790551147269425e-13
562,1.6978726032504557e-13
563,1.2130920892244987e-13
564,7.259457698263764e-14
565,2.3767017471760894e-14
566,-2.504970247756831e-14
567,-7.373202049898504e-14
568,-1.221568969405915e-13
569,-1.7020213099760615e-13
570,-2.1774667420360526e-13
571,-2.646709404634259e-13
572,-3.1085711182076365e-13
573,-3.5618943916593246e-13
574,-4.0055453710406537e-13
575,-4.4384167222043647e-13
576,-4.859430439982735e-13
577,-5.267540576650585e-13
578,-5.661735882658023e-13
579,-6.041042352859358e-13
580,-6.404525671727494e-13
581,-6.751293551318534e-13
582,-7.080497956047971e-13
583,-7.39133720864406e-13
584,-7.68305797197485e-13
585,-7.95495710177366e-13
586,-8.206383365645628e-13
587,-8.436739024094204e-13
588,-8.645481269679452e-13
589,-8.832123520805426e-13
590,-8.99623656701713e-13
591,-9.137449563095319e-13
592,-9.25545086963059e-13
593,-9.349988738178374e-13
594,-9.42087183950423e-13
595,-9.46796963384863e-13
596,-9.491212582557365e-13
597,-9.490592200848568e-13
598,-9.46616095190257e-13
599,-9.418031982881167e-13
600,-9.3463787038998e-13
601,-9.251434211388184e-13
602,-9.133490557682594e-13
603,-8.992897869093904e-13
604,-8.830063315094887e-13
605,-8.645449931651269e-13
606,-8.439575302106075e-13
607,-8.213010099391033e-13
608,-7.966376493696391e-13
609,-7.700346430081072e-13
610,-7.415639780832295e-13
611,-7.113022377706037e-13
612,-6.793303929486657e-13
613,-6.457335830591197e-13
